ID_SAMPLE,site_name,elevation,basin_size,site_type,entity_type,New_lat,New_lon
5933,,,0.503,"terrestrial, bog/fen/swamp",,,
5947,,,25.001,,,,
5965,,,0.503,,,,
5978,,,0.35,"terrestrial, bog/fen/swamp",,,
5998,,,0.003,,,,
5999,,,0.003,,,,
6000,,,0.003,,,,
6004,,,0.003,,,,
6010,,,0.5,,,,
6049,,,0.5,,,,
6072,,,3755,,,,
6076,,,0.008,,,,
6247,,,0.05,"terrestrial, bog/fen/swamp",,,
6256,,,0.25,"terrestrial, bog/fen/swamp",,,
6271,,,0.12,,,,
6978,,,0.01,,,,
6979,,,0.01,,,,
6981,,,0.05,,,,
6982,,,0.02,,,,
6986,,,1.15,,,,
6987,,,0.01,,,,
6988,,,0.01,,,,
6994,,,0.01,,,,
7001,,,0.07,"terrestrial, bog/fen/swamp",,,
7034,,,0.001,,,,
7040,,,0.071,,,,
7041,,,0.031,,,,
7042,,,0.0003,,,,
7043,,,0.001,,,,
7044,,,0.001,,,,
7045,,,0.001,,,,
7046,,,0.001,,,,
7048,,,0.0003,,,,
7049,,,0.126,,,,
7053,,,0.028,,,,
7085,,,0.056,,,,
7090,,,0.017,,,,
7093,,,0.001,,,,
7095,,,not applicable,,,,
7096,,,0.001,,,,
7099,,,0.015,,,,
7101,,,not applicable,,,,
7102,,,not applicable,,,,
7103,,,0.081,,,,
7106,,,0.001,,,,
7111,,,0.001,lake,,,
7112,,,not applicable,,,,
7113,,,not applicable,,,,
7114,,,not applicable,,,,
7115,,,not applicable,,,,
7116,,,not applicable,,,,
7117,,,not applicable,,,,
7118,,,not applicable,,,,
7119,,,not applicable,,,,
7120,,,not applicable,,,,
7121,,,0.001,,,,
7122,,,0.001,,,,
7123,,,0.001,,,,
7124,,,0.001,,,,
7126,,,0.01,,,,
7128,,,0.03,,,,
7131,,,not applicable,,,,
7133,,,0.01,,,,
7144,,,0.002,lake,,,
7147,,,0.011,,,,
7150,,,0.031,,,,
7152,,,19,,,,
7163,,,0.032,lake,,,
7171,,,0.073,,,,
7173,,,605,,,,
7181,,,0.01,,,,
7183,,,0.003,,,,
7185,,,not applicable,,,,
7291,,157,0.16,lake,,,
7292,,,0.076,lake,,,
7293,,,1.23,lake,,,
7294,,,0.016,lake,,,
7295,,,0.003,lake,,,
7296,,,0.148,lake,,,
7297,,,0.11,lake,,,
7298,,,90.268,lake,,,
7299,,,57.32,lake,,,
7300,,,2.086,lake,,,
7301,,,0.031,lake,,,
7302,,,0.072,lake,,,
7303,,,1.533,lake,,,
7304,,,0.134,lake,,,
7305,,,3.532,lake,,,
7306,,,0.317,lake,,,
7307,,,0.008,lake,,,
7308,,,0.026,lake,,,
7309,,,0.292,lake,,,
7310,,,0.022,lake,,,
7311,,,11.754,lake,,,
7312,,,0.003,lake,,,
7313,,,0.002,lake,,45.04595027,6.936207989
7314,,,0.26,lake,,,
7315,,,0.076,lake,,,
7316,,,0.153,lake,,,
7317,,,0.028,lake,,,
7318,,,0.053,lake,,,
7319,,,0.48,lake,,,
7320,,,2.595,lake,,,
7321,,,0.026,lake,,,
7323,,,0.003,lake,,46.00682987,8.086162112
7324,,,0.017,lake,,,
7325,,,0.041,lake,,,
7326,,,5.488,lake,,,
7327,,,0.179,lake,,,
7328,,,0.015,lake,,,
7329,,,0.003,lake,,,
7330,,,0.002,lake,,,
7331,,,0.004,lake,,,
