entity_name,longitude,latitude,bin_centre,number_samples,tree_cover
ABBO,14.45,63.883333,200,3,71.8858022351369
ABBO,14.45,63.883333,400,3,75.0142518133183
ABBO,14.45,63.883333,600,2,75.1668590223346
ABBO,14.45,63.883333,800,1,74.4125154200953
ABBO,14.45,63.883333,1000,2,76.3289927032023
ABBO,14.45,63.883333,1200,2,74.7300904474574
ABBO,14.45,63.883333,1400,1,74.8962399502982
ABBO,14.45,63.883333,1600,3,74.978088017539
ABBO,14.45,63.883333,1800,3,75.3937971825907
ABBO,14.45,63.883333,2000,3,72.1867526623552
ABBO,14.45,63.883333,2200,3,70.1309807872877
ABBO,14.45,63.883333,2400,4,62.6971363489912
ABBO,14.45,63.883333,2600,3,55.4195881613091
ABBO,14.45,63.883333,2800,4,57.3271107032956
ABBO,14.45,63.883333,3000,2,51.2038833888981
ABBO,14.45,63.883333,3200,3,49.5612000938727
ABBO,14.45,63.883333,3400,2,46.1229798652108
ABBO,14.45,63.883333,3600,3,43.7692492746944
ABBO,14.45,63.883333,3800,2,46.9941356466015
ABBO,14.45,63.883333,4000,3,45.0777881429042
ABBO,14.45,63.883333,4200,2,45.3439850721053
ABBO,14.45,63.883333,4400,3,45.0657135540943
ABBO,14.45,63.883333,4600,2,45.7596616842796
ABBO,14.45,63.883333,4800,2,49.7601680196538
ABBO,14.45,63.883333,5000,3,45.1181923422676
ABBO,14.45,63.883333,5200,2,43.2041515031872
ABBO,14.45,63.883333,5400,2,43.1917511353945
ABBO,14.45,63.883333,5600,2,48.8599511876238
ABBO,14.45,63.883333,5800,3,48.2227318549531
ABBO,14.45,63.883333,6000,2,48.182220107457
ABBO,14.45,63.883333,6200,2,47.3389564640377
ABBO,14.45,63.883333,6400,3,49.4894541730599
ABBO,14.45,63.883333,6600,1,51.4481583470348
ABBO,14.45,63.883333,6800,1,55.3695253014964
ABBO,14.45,63.883333,7000,1,52.115892245062
ABBO,14.45,63.883333,7200,2,52.2407513838057
ABBO,14.45,63.883333,7400,1,55.0446032244735
ABBO,14.45,63.883333,7600,1,44.8695447271063
ABBO,14.45,63.883333,7800,1,51.7468893640146
ABBO,14.45,63.883333,8000,1,47.957741501767
ABBO,14.45,63.883333,8200,1,54.41112992256
ABBO,14.45,63.883333,8400,3,47.2019298049547
ABBO,14.45,63.883333,8600,4,50.1268968200813
ABBO,14.45,63.883333,8800,4,59.3531757608855
ABBO,14.45,63.883333,9000,4,33.0432295140672
AC4HOLO,10.89235,42.987535,400,1,45.5600896430764
AC4HOLO,10.89235,42.987535,600,1,42.6978370074499
AC4HOLO,10.89235,42.987535,1000,1,44.3549267307174
AC4HOLO,10.89235,42.987535,1200,1,52.269291568131
AC4HOLO,10.89235,42.987535,1400,2,62.7845424398641
AC4HOLO,10.89235,42.987535,1600,1,64.0283280061863
AC4HOLO,10.89235,42.987535,1800,1,69.9066526318258
AC4HOLO,10.89235,42.987535,2000,1,44.0725792608439
AC4HOLO,10.89235,42.987535,2200,1,62.7269778840922
AC4HOLO,10.89235,42.987535,2400,1,68.2704254771479
AC4HOLO,10.89235,42.987535,2600,1,70.9360924211611
AC4HOLO,10.89235,42.987535,3000,1,37.1072958604113
AC4HOLO,10.89235,42.987535,3200,1,63.0422314123157
AC4HOLO,10.89235,42.987535,3400,3,65.3035494724374
AC4HOLO,10.89235,42.987535,3600,5,68.6845433461654
AC4HOLO,10.89235,42.987535,3800,7,65.7862741275566
AC4HOLO,10.89235,42.987535,4000,8,67.8112457355942
AC4HOLO,10.89235,42.987535,4200,5,66.3092165885398
AC4HOLO,10.89235,42.987535,4400,4,52.624750184939
AC4HOLO,10.89235,42.987535,4600,1,52.1041193727634
AC4HOLO,10.89235,42.987535,4800,1,27.8568609082587
AC4HOLO,10.89235,42.987535,5200,1,50.0560242385288
AC4HOLO,10.89235,42.987535,5400,1,45.9393437027385
AC4HOLO,10.89235,42.987535,5600,1,40.0034885644976
AC4HOLO,10.89235,42.987535,5800,1,43.0439444522751
AC4HOLO,10.89235,42.987535,6000,1,45.4734274466549
AC4HOLO,10.89235,42.987535,6400,1,70.1515710150936
AC4HOLO,10.89235,42.987535,6600,1,69.1455335578835
AC4HOLO,10.89235,42.987535,6800,2,66.4941548020084
AC4HOLO,10.89235,42.987535,7000,1,55.5840652099168
AC4HOLO,10.89235,42.987535,7200,1,47.7945299514628
AC4HOLO,10.89235,42.987535,7400,4,63.0693235523282
AC4HOLO,10.89235,42.987535,7600,5,56.3624808852855
AC4HOLO,10.89235,42.987535,7800,3,50.5891981372624
AC4HOLO,10.89235,42.987535,8000,3,63.1936795584462
