taxon_name,clean_taxon_name,terrestrial_pollen_sum,ap_sp_hp,ap_needle_broad,europe,pollination
Abies,Abies,yes,AP,needle,native,wind
Acacia,Acacia,yes,not_native,not_native_tree,not native to Europe,not native to Europe
Acanthaceae,Acanthaceae,yes,SP,not_native_tree,native,not_native_tree
Acer,Acer,yes,AP,broad,native,wind
Aconitum,Aconitum,yes,HP,not_native_tree,native,not_native_tree
Cimicifuga,Actaea,yes,HP,not_native_tree,native,not_native_tree
Actinidiaceae,Actinidiaceae,yes,not_native,not_native_tree,not native to Europe,not native to Europe
Aesculus,Aesculus,yes,AP,broad,native,biotic
Ailanthus,Ailanthus,yes,not_native,not_native_tree,not native to Europe,not native to Europe
Aizoaceae,Aizoaceae,yes,HP,not_native_tree,native,not_native_tree
Alnus,Alnus,yes,AP,broad,native,wind
Alnus subgen Alnus,Alnus,yes,AP,broad,native,wind
Alnus subgen Alnobetula,Alnus subg. Alnobetula,yes,AP,broad,native,wind
Amaranthaceae,Amaranthaceae,yes,HP,not_native_tree,native,not_native_tree
Amaryllidaceae,Amaryllidaceae,yes,HP,not_native_tree,native,not_native_tree
Amorpha,Amorpha,yes,not_native,not_native_tree,not native to Europe,not native to Europe
Andromeda,Andromeda,yes,SP,not_native_tree,native,not_native_tree
Apiaceae,Apiaceae,yes,SP,not_native_tree,native,not_native_tree
Apocynaceae,Apocynaceae,yes,HP,not_native_tree,native,not_native_tree
Aquilegia,Aquilegia,yes,HP,not_native_tree,native,not_native_tree
Araceae,Araceae,yes,HP,not_native_tree,native,not_native_tree
Arbutus,Arbutus,yes,AP,broad,native,biotic
Arctostaphylos,Arctostaphylos,yes,not_native,not_native_tree,not native to Europe,not native to Europe
Arecaceae,Arecaceae,yes,AP,broad,native,dual
Aristolochiaceae,Aristolochiaceae,yes,SP,not_native_tree,native,not_native_tree
Artemisia,Artemisia,yes,SP,not_native_tree,native,not_native_tree
Asparagaceae,Asparagaceae,yes,SP,not_native_tree,native,not_native_tree
Asphodelaceae,Asphodelaceae,yes,HP,not_native_tree,native,not_native_tree
Asteraceae,Asteraceae,yes,HP,not_native_tree,native,not_native_tree
Asteraceae (Liguliflorae),Asteraceae (Liguliflorae),yes,HP,not_native_tree,native,not_native_tree
Asteroideae,Asteroideae,yes,HP,not_native_tree,native,not_native_tree
Astragalus,Astragalus,yes,SP,not_native_tree,native,not_native_tree
Berberidaceae,Berberidaceae,yes,SP,not_native_tree,native,not_native_tree
Berberis,Berberis,yes,SP,not_native_tree,native,not_native_tree
Betula,Betula,yes,AP,broad,native,wind
Betula (Chamaebetula),Betula chamaebetula,yes,AP,broad,native,wind
Bifaria,Bifaria,yes,not_native,not_native_tree,not native to Europe,not native to Europe
Boraginaceae,Boraginaceae,yes,HP,not_native_tree,native,not_native_tree
Brassicaceae,Brassicaceae,yes,HP,not_native_tree,native,not_native_tree
Buddleia,Buddleia,yes,SP,not_native_tree,native,not_native_tree
Buxus,Buxus,yes,AP,broad,native,wind
Calicotome,Calicotome,yes,SP,not_native_tree,native,not_native_tree
Calluna,Calluna,yes,SP,not_native_tree,native,not_native_tree
Camellia,Camellia,yes,not_native,not_native_tree,not native to Europe,not native to Europe
Campanulaceae,Campanulaceae,yes,HP,not_native_tree,native,not_native_tree
Cannabaceae (trees),Cannabaceae,yes,HP,not_native_tree,native,not_native_tree
Capparaceae,Capparaceae,yes,SP,not_native_tree,native,not_native_tree
Caprifoliaceae,Caprifoliaceae,yes,SP,not_native_tree,native,not_native_tree
Valerianaceae,Caprifoliaceae,yes,SP,not_native_tree,native,not_native_tree
Carduoideae,Carduoideae,yes,HP,not_native_tree,native,not_native_tree
Carpinus,Carpinus,yes,AP,broad,native,wind
Carpinus betulus,Carpinus betulus,yes,AP,broad,native,wind
Carpinus orientalis/Ostrya,Carpinus orientalis/Ostrya,yes,AP,broad,native,wind
Carya,Carya,yes,not_native,not_native_tree,not native to Europe,not native to Europe
Caryophyllaceae,Caryophyllaceae,yes,HP,not_native_tree,native,not_native_tree
Cassiope,Cassiope,yes,SP,not_native_tree,native,not_native_tree
Castanea,Castanea,yes,AP,broad,native,wind
Cedrus,Cedrus,yes,AP,needle,native,wind
Celastraceae,Celastraceae,yes,HP,not_native_tree,native,not_native_tree
Celtis,Celtis,yes,AP,broad,native,wind
Ceratonia,Ceratonia,yes,AP,broad,native,dual
Cercis,Cercis,yes,AP,broad,native,biotic
Chamaedaphne,Chamaedaphne,yes,SP,not_native_tree,native,not_native_tree
Chimaphila,Chimaphila,yes,HP,not_native_tree,native,not_native_tree
Cichorioideae,Cichorioideae,yes,HP,not_native_tree,native,not_native_tree
Cistaceae,Cistaceae,yes,SP,not_native_tree,native,not_native_tree
Cistus,Cistus,yes,SP,not_native_tree,native,not_native_tree
Citrullus,Citrullus,yes,SP,not_native_tree,native,not_native_tree
Clematis,Clematis,yes,SP,not_native_tree,native,not_native_tree
Clethra,Clethra,yes,SP,not_native_tree,native,not_native_tree
Clusiaceae,Clusiaceae,yes,AP,broad,native,biotic
Colchicaceae,Colchicaceae,yes,HP,not_native_tree,native,not_native_tree
Colutea,Colutea,yes,SP,not_native_tree,native,not_native_tree
Consolida,Consolida,yes,HP,not_native_tree,native,not_native_tree
Convolvulaceae,Convolvulaceae,yes,SP,not_native_tree,native,not_native_tree
Coprosma,Coprosma,yes,not_native,not_native_tree,not native to Europe,not native to Europe
Coriaria,Coriaria,yes,SP,not_native_tree,native,not_native_tree
Cornaceae,Cornaceae,yes,AP,broad,native,dual
Cornus,Cornus,yes,AP,broad,native,biotic
Corylopsis,Corylopsis,yes,not_native,not_native_tree,not native to Europe,not native to Europe
Corylus,Corylus,yes,AP,broad,native,wind
Cotinus,Cotinus,yes,SP,not_native_tree,native,not_native_tree
Cotoneaster,Cotoneaster,yes,SP,not_native_tree,native,not_native_tree
Crassulaceae,Crassulaceae,yes,HP,not_native_tree,native,not_native_tree
Crataegus,Crataegus,yes,SP,not_native_tree,native,not_native_tree
Cryptomeria,Cryptomeria,yes,not_native,not_native_tree,not native to Europe,not native to Europe
Cucurbitaceae,Cucurbitaceae,yes,SP,not_native_tree,native,not_native_tree
Cupressaceae,Cupressaceae,yes,AP,needle,native,wind
Cynomorium,Cynomorium,no,HP,not_native_tree,native,not_native_tree
Cyperaceae,Cyperaceae,yes,HP,not_native_tree,native,not_native_tree
Cytinaceae,Cytinaceae,,HP,not_native_tree,native,not_native_tree
Daphne,Daphne,yes,SP,not_native_tree,native,not_native_tree
Datisca,Datisca,yes,HP,not_native_tree,native,not_native_tree
Delphinium,Delphinium,yes,HP,not_native_tree,native,not_native_tree
Diapensia,Diapensia,yes,SP,not_native_tree,native,not_native_tree
Dioscoreaceae,Dioscoreaceae,yes,SP,not_native_tree,native,not_native_tree
Dryas,Dryas,yes,SP,not_native_tree,native,not_native_tree
Elaeagnaceae,Elaeagnaceae,yes,AP,broad,native,dual
Elaeagnus,Elaeagnus,yes,AP,broad,native,biotic
Empetrum,Empetrum,yes,SP,not_native_tree,native,not_native_tree
Ephedra,Ephedra,yes,SP,not_native_tree,native,not_native_tree
Equisetum,Equisetum,no,HP,not_native_tree,native,not_native_tree
Erica,Erica,yes,SP,not_native_tree,native,not_native_tree
Bruckenthalia,Erica,yes,SP,not_native_tree,native,not_native_tree
Ericaceae,Ericaceae,yes,SP,not_native_tree,native,not_native_tree
Eucalyptus,Eucalyptus,yes,not_native,not_native_tree,not native to Europe,not native to Europe
Euonymus,Euonymus,yes,SP,not_native_tree,native,not_native_tree
Euphorbiaceae,Euphorbiaceae,yes,HP,not_native_tree,native,not_native_tree
Fabaceae,Fabaceae,yes,AP,broad,native,dual
Fabaceae (herbs),Fabaceae (herbs),yes,HP,not_native_tree,native,not_native_tree
Fagus,Fagus,yes,AP,broad,native,wind
Ficus,Ficus,yes,AP,broad,native,biotic
Flueggea,Flueggea,yes,SP,not_native_tree,native,not_native_tree
